country,year,doctors_per_capita
Austria,2020,11.06
Austria,2021,11.41
Austria,2022,11.18
Austria,2023,11.29
Belgium,2020,13.08
Belgium,2021,13.06
Belgium,2022,12.81
Czechia,2020,7.12
Czechia,2021,7.43
Czechia,2022,7.43
Czechia,2023,7.8
Denmark,2020,18.44
Denmark,2021,18.9
Denmark,2022,18.6
Denmark,2023,18.69
Estonia,2020,6.09
Estonia,2021,6.33
Estonia,2022,6.69
Estonia,2023,6.85
Finland,2020,17.99
Finland,2021,18.25
Finland,2022,18.37
Finland,2023,18.81
France,2020,15.36
France,2021,15.25
Germany,2020,14.64
Greece,2020,7.27
Greece,2021,7.55
Hungary,2020,7.18
Hungary,2021,6.92
Hungary,2022,6.86
Hungary,2023,6.91
Ireland,2020,12.77
Ireland,2021,12.95
Ireland,2022,13.2
Ireland,2023,13.46
Italy,2020,8.59
Italy,2021,8.79
Italy,2022,8.76
Italy,2023,8.76
Latvia,2020,6.55
Latvia,2021,6.87
Latvia,2022,6.91
Latvia,2023,7.11
Lithuania,2020,7.12
Lithuania,2021,7.32
Lithuania,2022,7.72
Lithuania,2023,7.66
Luxembourg,2020,17.91
Luxembourg,2021,17.79
Luxembourg,2022,18.37
Luxembourg,2023,18.27
Netherlands,2020,17.04
Netherlands,2021,16.86
Poland,2020,6.11
Poland,2021,6.58
Poland,2022,6.76
Poland,2023,6.82
Portugal,2020,8.77
Portugal,2021,9.1
Portugal,2022,9.05
Slovak Republic,2020,5.6
Slovak Republic,2021,5.61
Slovak Republic,2022,5.7
Slovak Republic,2023,5.73
Slovak Republic,2024,5.81
Slovenia,2020,7.12
Slovenia,2021,7.53
Slovenia,2022,7.66
Slovenia,2023,7.81
Spain,2020,7.98
Spain,2021,8.07
Sweden,2020,16.84
Sweden,2021,16.83
Sweden,2022,16.57
Bulgaria,2020,5.99
Bulgaria,2021,6.43
Bulgaria,2022,6.59
Bulgaria,2023,7.3
Croatia,2020,8.04
Croatia,2021,8
Croatia,2022,7.96
Romania,2020,4.82
Romania,2021,5.42
Romania,2022,5.58
France,2022,14.97
Germany,2021,15.15
Germany,2022,14.98
Greece,2022,7.26
Netherlands,2022,16.68
Spain,2022,8.18
Belgium,2023,12.86
France,2023,14.94
Germany,2023,14.94
Greece,2023,7.33
Netherlands,2023,16.61
Spain,2023,8.89
Croatia,2023,7.76
Romania,2023,5.34
