country,year,health_spending
Belgium,2022,10.74
Belgium,2020,11.463
Cyprus,2019,7.066
Cyprus,2018,6.826
Cyprus,2017,6.622
Cyprus,2016,6.653
Lithuania,2024,7.596
Cyprus,2022,8.996
Cyprus,2023,8.119
Cyprus,2015,6.794
Cyprus,2021,9.488
Cyprus,2020,8.837
Portugal,2020,10.521
Portugal,2019,9.509
Portugal,2022,10.549
Croatia,2015,6.655
Portugal,2021,11.22
Portugal,2023,10.028
Portugal,2024,10.241
Croatia,2022,7.297
Croatia,2016,6.692
Croatia,2018,6.714
Croatia,2017,6.628
Croatia,2019,6.787
Croatia,2020,7.684
Croatia,2023,7.147
Croatia,2021,8.083
Malta,2020,10.741
Malta,2016,8.966
Malta,2018,8.551
Malta,2017,8.731
Malta,2019,9.148
Malta,2023,8.841
Malta,2022,9.815
Malta,2021,10.584
Lithuania,2022,7.244
Lithuania,2023,7.319
Lithuania,2021,7.732
Netherlands,2020,10.95
Netherlands,2017,9.937
Netherlands,2018,9.851
Netherlands,2019,9.936
Netherlands,2016,10.125
Romania,2023,5.709
Romania,2022,5.798
Romania,2021,6.452
Romania,2020,6.21
Romania,2019,5.699
Romania,2018,5.515
Romania,2017,5.189
Romania,2016,5.08
Romania,2015,4.943
Sweden,2024,11.312
Spain,2024,9.173
Sweden,2023,11.278
Sweden,2022,10.946
Sweden,2021,11.328
Sweden,2020,11.443
Sweden,2019,10.961
Sweden,2018,11.125
Sweden,2017,10.966
Sweden,2016,10.982
Sweden,2015,10.933
Spain,2023,9.221
Spain,2022,9.68
Spain,2021,10.344
Spain,2020,10.795
Spain,2019,9.215
Spain,2018,9.071
Spain,2017,9.022
Spain,2016,9.013
Spain,2015,9.176
Bulgaria,2023,7.919
Bulgaria,2022,7.638
Bulgaria,2021,8.58
Bulgaria,2020,8.441
Bulgaria,2019,7.118
Bulgaria,2018,7.341
Bulgaria,2017,7.496
Bulgaria,2016,7.46
Bulgaria,2015,7.394
Lithuania,2015,6.474
Netherlands,2024,10.006
Denmark,2024,9.388
Netherlands,2021,11.135
Netherlands,2023,9.832
Denmark,2023,9.513
Netherlands,2022,10.031
Denmark,2022,9.474
Czechia,2015,7.293
Czechia,2016,7.323
Czechia,2017,7.242
Germany,2015,10.923
Germany,2018,11.184
Germany,2016,10.971
Germany,2017,11.051
France,2020,12.129
France,2019,11.171
France,2018,11.308
Slovenia,2022,9.627
Slovenia,2021,9.527
Slovenia,2020,9.49
Slovenia,2019,8.566
Slovenia,2018,8.352
Slovenia,2017,8.259
Slovenia,2016,8.569
Slovenia,2015,8.597
Slovak Republic,2023,7.353
Slovak Republic,2022,7.702
Slovak Republic,2021,7.629
Slovak Republic,2020,7.06
Slovak Republic,2019,6.911
Slovak Republic,2018,6.637
Slovak Republic,2017,6.734
Slovak Republic,2016,6.942
Slovak Republic,2015,6.741
Hungary,2023,6.369
Czechia,2023,8.427
Estonia,2023,7.471
Hungary,2022,6.647
Czechia,2022,8.471
Estonia,2022,6.936
Czechia,2024,8.507
Estonia,2024,7.836
Hungary,2024,6.497
Slovak Republic,2024,8.364
Finland,2024,10.603
Italy,2022,8.85
Italy,2021,9.282
Italy,2020,9.564
Italy,2018,8.655
Italy,2017,8.691
Italy,2016,8.72
Italy,2015,8.846
Greece,2023,8.394
Ireland,2022,6.021
Ireland,2023,6.575
Ireland,2021,6.441
Ireland,2020,6.973
Estonia,2015,6.521
Czechia,2020,8.97
Czechia,2021,9.154
Czechia,2019,7.488
Czechia,2018,7.372
Hungary,2016,6.968
Hungary,2017,6.733
Hungary,2015,6.85
Greece,2015,8.267
Finland,2023,10.474
Finland,2022,9.742
Finland,2021,9.91
Finland,2020,9.7
Ireland,2024,6.854
Luxembourg,2024,5.891
Luxembourg,2023,5.668
Luxembourg,2022,5.609
Luxembourg,2021,5.608
Luxembourg,2020,5.767
Luxembourg,2019,5.466
Luxembourg,2018,5.274
Luxembourg,2017,5.135
Luxembourg,2016,5.071
Luxembourg,2015,5.081
Latvia,2018,6.409
Latvia,2017,6.187
Latvia,2016,6.352
Latvia,2015,5.849
Slovenia,2023,9.3
Belgium,2023,10.804
Slovenia,2024,9.876
Belgium,2024,10.969
Latvia,2019,6.863
Latvia,2024,7.589
Denmark,2021,10.656
Denmark,2020,10.692
Denmark,2019,10.185
Denmark,2018,10.142
Denmark,2017,10.114
Denmark,2016,10.268
Denmark,2015,10.359
France,2017,11.449
France,2016,11.57
France,2015,11.5
Greece,2022,8.449
Greece,2020,9.381
Greece,2019,8.117
Greece,2017,8.113
Greece,2016,8.451
Greece,2018,8.073
Greece,2021,9.032
Latvia,2021,9.411
Latvia,2020,7.506
Latvia,2022,8.104
Latvia,2023,7.278
Lithuania,2020,7.416
Lithuania,2019,6.945
Lithuania,2018,6.469
Lithuania,2017,6.464
Lithuania,2016,6.649
Belgium,2021,11.288
France,2022,11.835
France,2023,11.503
France,2021,12.249
Hungary,2021,7.335
Hungary,2018,6.555
Hungary,2019,6.247
Hungary,2020,7.231
Germany,2021,12.724
Germany,2020,12.468
Germany,2019,11.428
Estonia,2021,7.476
Estonia,2020,7.472
Estonia,2019,6.648
Estonia,2018,6.563
Estonia,2017,6.466
Estonia,2016,6.569
France,2024,11.541
Netherlands,2015,10.189
Germany,2023,11.744
Germany,2022,12.447
Finland,2019,9.223
Finland,2018,9.103
Finland,2017,9.191
Finland,2016,9.456
Ireland,2019,6.619
Ireland,2015,7.078
Ireland,2016,7.338
Ireland,2017,6.917
Ireland,2018,6.747
Finland,2015,9.7
Germany,2024,12.267
Italy,2024,8.444
Greece,2024,8.112
Poland,2024,8.064
Portugal,2018,9.421
Portugal,2017,9.327
Portugal,2016,9.4
Portugal,2015,9.333
Poland,2015,6.365
Poland,2019,6.389
Poland,2021,6.365
Poland,2020,6.427
Poland,2018,6.251
Poland,2016,6.526
Poland,2017,6.537
Poland,2023,7.138
Poland,2022,6.466
Italy,2019,8.615
Italy,2023,8.406
Austria,2024,11.777
Belgium,2018,10.994
Belgium,2017,10.94
Belgium,2016,10.898
Belgium,2015,10.884
Austria,2023,11.153
Austria,2022,11.225
Austria,2021,12.185
Austria,2020,11.413
Austria,2019,10.625
Austria,2018,10.516
Austria,2017,10.571
Austria,2016,10.517
Austria,2015,10.517
Belgium,2019,10.858
