country,year,gdp_per_capita,health_expenditure,health_spending,doctors_per_capita
Austria,2020,48716.4098900349,11.41292953,11.413,11.06
Austria,2021,53648.6437976214,12.185215,12.185,11.41
Austria,2022,52336.7725223758,11.22519779,11.225,11.18
Austria,2023,56579.504175468,11.15297318,11.153,11.29
Belgium,2020,45906.2875805246,11.46253014,11.463,13.08
Belgium,2021,51658.238294958,11.28825092,11.288,13.06
Belgium,2022,50605.7496677086,10.73976326,10.74,12.81
Belgium,2023,55291.4754541329,10.80371571,10.804,12.86
Bulgaria,2020,10760.211975413,8.44060898,8.441,5.99
Bulgaria,2021,12966.1457543396,8.58048916,8.58,6.43
Bulgaria,2022,13999.1949530956,7.63849449,7.638,6.59
Bulgaria,2023,15853.208636704,7.91853094,7.919,7.3
Czechia,2020,23472.8915454417,8.96995831,8.97,7.12
Czechia,2021,27696.4619527544,9.15420723,9.154,7.43
Czechia,2022,28282.2236715857,8.47063065,8.471,7.43
Czechia,2023,31761.5944102491,8.42677402,8.427,7.8
Germany,2020,47394.8734504469,12.46780777,12.468,14.64
Germany,2021,52349.2459994422,12.72403336,12.724,15.15
Germany,2022,50506.5179638543,12.44708347,12.447,14.98
Germany,2023,54776.7668235491,11.74428654,11.744,14.94
Denmark,2020,60985.4885601514,10.69237614,10.692,18.44
Denmark,2021,69340.7334922138,10.65575886,10.656,18.9
Denmark,2022,67781.0940939514,9.47411346,9.474,18.6
Denmark,2023,68043.5466971243,9.5572958,9.513,18.69
Spain,2020,27233.9426461608,10.79479218,10.795,7.98
Spain,2021,30799.4775937775,10.34419918,10.344,8.07
Spain,2022,30319.4987196616,9.6799593,9.68,8.18
Spain,2023,33493.2225409111,9.2206583,9.221,8.89
Estonia,2020,23933.9939421065,7.47179365,7.472,6.09
Estonia,2021,27951.1659277744,7.47591066,7.476,6.33
Estonia,2022,28340.3826549406,6.93641424,6.936,6.69
Estonia,2023,30264.0064885057,7.47082138,7.471,6.85
Finland,2020,48828.6846862799,9.69977188,9.7,17.99
Finland,2021,53099.1351400148,9.90969753,9.91,18.25
Finland,2022,50440.560224974,9.74152565,9.742,18.37
Finland,2023,52834.2916752703,10.47389507,10.474,18.81
France,2020,39169.8606000707,12.12949371,12.129,15.36
France,2021,43725.0999521245,12.24894238,12.249,15.25
France,2022,40988.6396406579,11.82888794,11.835,14.97
France,2023,44700.1384177544,11.51974583,11.503,14.94
Greece,2020,17886.733165236,9.38074493,9.381,7.27
Greece,2021,20654.7001960815,9.03178692,9.032,7.55
Greece,2022,20886.5243087629,8.44938278,8.449,7.26
Greece,2023,23343.7103964562,8.39367008,8.394,7.33
Croatia,2020,14807.5608543265,7.68352938,7.684,8.04
Croatia,2021,17788.7865816658,8.08265686,8.083,8.0
Croatia,2022,18465.5414420364,7.29636335,7.297,7.96
Croatia,2023,22184.2279304842,7.14699411,7.147,7.76
Hungary,2020,16386.9308821258,7.230515,7.231,7.18
Hungary,2021,19030.628130329,7.33524847,7.335,6.92
Hungary,2022,18428.028825614,6.6474123,6.647,6.86
Hungary,2023,22230.6277875187,6.36868954,6.369,6.91
Ireland,2020,86514.0706108754,6.97323275,6.973,12.77
Ireland,2021,103783.446284479,6.44113493,6.441,12.95
Ireland,2022,105190.685952731,6.02078247,6.021,13.2
Ireland,2023,106818.917130804,6.57538509,6.575,13.46
Italy,2020,32091.4866621366,9.5643034,9.564,8.59
Italy,2021,36852.5425414951,9.28164482,9.282,8.79
Italy,2022,35653.9042103495,8.85022926,8.85,8.76
Italy,2023,39277.0838783918,8.40559483,8.406,8.76
Lithuania,2020,20428.6478157394,7.41619062,7.416,7.12
Lithuania,2021,23870.4594851722,7.73210812,7.732,7.32
Lithuania,2022,25085.784063499,7.24367952,7.244,7.72
Lithuania,2023,27786.0057829276,7.31801939,7.319,7.66
Luxembourg,2020,116860.02817236,5.7671175,5.767,17.91
Luxembourg,2021,134965.815442152,5.60806084,5.608,17.79
Luxembourg,2022,123719.658915996,5.60926914,5.609,18.37
Luxembourg,2023,133230.619178899,5.78777981,5.668,18.27
Latvia,2020,17564.2321549354,7.50587368,7.506,6.55
Latvia,2021,20261.8887788916,9.4105072,9.411,6.87
Latvia,2022,20221.103686109,8.1044302,8.104,6.91
Latvia,2023,22710.2637544197,7.27783823,7.278,7.11
Netherlands,2020,53467.9277413737,10.94954681,10.95,17.04
Netherlands,2021,60141.9880911492,11.13498974,11.135,16.86
Netherlands,2022,59123.318556487,10.03109169,10.031,16.68
Netherlands,2023,63515.6030780019,9.83150005,9.832,16.61
Poland,2020,16150.9304813473,6.42739105,6.427,6.11
Poland,2021,18635.5104895754,6.3654809,6.365,6.58
Poland,2022,18891.2121169279,6.46619797,6.466,6.76
Poland,2023,22145.2660647429,7.13848782,7.138,6.82
Portugal,2020,22299.4044062173,10.52074051,10.521,8.77
Portugal,2021,24711.4510062111,11.22031498,11.22,9.1
Portugal,2022,24620.5197587181,10.5492239,10.549,9.05
Romania,2020,13009.1770573223,6.20959711,6.21,4.82
Romania,2021,14907.9803652143,6.45246983,6.452,5.42
Romania,2022,15503.551804598,5.79823256,5.798,5.58
Romania,2023,18244.4186876321,5.70901489,5.709,5.34
Slovak Republic,2020,19735.4858280801,7.06027794,7.06,5.6
Slovak Republic,2021,22123.3342114545,7.62857914,7.629,5.61
Slovak Republic,2022,21317.7943982363,7.70245218,7.702,5.7
Slovak Republic,2023,24614.8734642794,7.35262203,7.353,5.73
Slovenia,2020,25392.0651093612,9.48984432,9.49,7.12
Slovenia,2021,29192.8401933019,9.52724361,9.527,7.53
Slovenia,2022,28360.3041467268,9.62683296,9.627,7.66
Slovenia,2023,32660.4753581346,9.30008888,9.3,7.81
Sweden,2020,52568.5726980146,11.42458725,11.443,16.84
Sweden,2021,60647.5416365347,11.23013592,11.328,16.83
Sweden,2022,54836.8907235124,10.85505676,10.946,16.57
